	Query	Target	Query-Cov	Align-From	Align-To	1-Candidate	1-Mol.Name	1-Reg.Status	2-Candidate	2-Mol.Name	2-Reg.Status	Similarity by Tcoff
0	sp|P07550|ADRB2_HU	P07550	99.76	1.0	413.0	DB00127	Spermine	experimental; nutraceutical	-	Sorry! Cannot find	structurally similar	approved molecules
1	sp|P07550|ADRB2_HU	P07550	99.76	1.0	413.0	DB00195	Betaxolol	approved; investigational	DB00187	Esmolol	approved	0.76
2	sp|P07550|ADRB2_HU	P07550	99.76	1.0	413.0	DB00195	Betaxolol	approved; investigational	DB00195	Betaxolol	approved; investigational	1.0
3	sp|P07550|ADRB2_HU	P07550	99.76	1.0	413.0	DB00195	Betaxolol	approved; investigational	DB00264	Metoprolol	approved; investigational	0.9
4	sp|P07550|ADRB2_HU	P07550	99.76	1.0	413.0	DB00195	Betaxolol	approved; investigational	DB00335	Atenolol	approved	0.77
5	sp|P07550|ADRB2_HU	P07550	99.76	1.0	413.0	DB00195	Betaxolol	approved; investigational	DB09351	Levobetaxolol	approved; investigational	1.0
6	sp|P07550|ADRB2_HU	P07550	99.76	1.0	413.0	DB00221	Isoetharine	approved	DB00221	Isoetharine	approved	1.0
7	sp|P07550|ADRB2_HU	P07550	99.76	1.0	413.0	DB00221	Isoetharine	approved	DB00368	Norepinephrine	approved	0.71
8	sp|P07550|ADRB2_HU	P07550	99.76	1.0	413.0	DB00221	Isoetharine	approved	DB00610	Metaraminol	approved; investigational	0.71
9	sp|P07550|ADRB2_HU	P07550	99.76	1.0	413.0	DB00221	Isoetharine	approved	DB00668	Epinephrine	approved; vet_approved	0.75
10	sp|P07550|ADRB2_HU	P07550	99.76	1.0	413.0	DB00221	Isoetharine	approved	DB00816	Orciprenaline	approved	0.72
11	sp|P07550|ADRB2_HU	P07550	99.76	1.0	413.0	DB00221	Isoetharine	approved	DB00867	Ritodrine	approved; investigational	0.74
12	sp|P07550|ADRB2_HU	P07550	99.76	1.0	413.0	DB00221	Isoetharine	approved	DB00871	Terbutaline	approved	0.71
13	sp|P07550|ADRB2_HU	P07550	99.76	1.0	413.0	DB00221	Isoetharine	approved	DB01064	Isoprenaline	approved; investigational	0.8
14	sp|P07550|ADRB2_HU	P07550	99.76	1.0	413.0	DB00221	Isoetharine	approved	DB01102	Arbutamine	approved	0.77
15	sp|P07550|ADRB2_HU	P07550	99.76	1.0	413.0	DB00221	Isoetharine	approved	DB01288	Fenoterol	approved; investigational	0.75
16	sp|P07550|ADRB2_HU	P07550	99.76	1.0	413.0	DB00221	Isoetharine	approved	DB06152	Nylidrin	approved	0.74
17	sp|P07550|ADRB2_HU	P07550	99.76	1.0	413.0	DB00221	Isoetharine	approved	DB06707	Levonordefrin	approved	0.81
18	sp|P07550|ADRB2_HU	P07550	99.76	1.0	413.0	DB00221	Isoetharine	approved	DB11610	Oxilofrine	approved	0.7
19	sp|P07550|ADRB2_HU	P07550	99.76	1.0	413.0	DB00248	Cabergoline	approved	DB00248	Cabergoline	approved	1.0
20	sp|P07550|ADRB2_HU	P07550	99.76	1.0	413.0	DB00248	Cabergoline	approved	DB01186	Pergolide	approved; investigational; vet_approved; withdrawn	0.78
21	sp|P07550|ADRB2_HU	P07550	99.76	1.0	413.0	DB00248	Cabergoline	approved	DB13520	Metergoline	approved	0.76
22	sp|P07550|ADRB2_HU	P07550	99.76	1.0	413.0	DB00264	Metoprolol	approved; investigational	DB00187	Esmolol	approved	0.81
23	sp|P07550|ADRB2_HU	P07550	99.76	1.0	413.0	DB00264	Metoprolol	approved; investigational	DB00195	Betaxolol	approved; investigational	0.9
24	sp|P07550|ADRB2_HU	P07550	99.76	1.0	413.0	DB00264	Metoprolol	approved; investigational	DB00264	Metoprolol	approved; investigational	1.0
25	sp|P07550|ADRB2_HU	P07550	99.76	1.0	413.0	DB00264	Metoprolol	approved; investigational	DB00335	Atenolol	approved	0.84
26	sp|P07550|ADRB2_HU	P07550	99.76	1.0	413.0	DB00264	Metoprolol	approved; investigational	DB00612	Bisoprolol	approved	0.72
27	sp|P07550|ADRB2_HU	P07550	99.76	1.0	413.0	DB00264	Metoprolol	approved; investigational	DB09351	Levobetaxolol	approved; investigational	0.9
28	sp|P07550|ADRB2_HU	P07550	99.76	1.0	413.0	DB00335	Atenolol	approved	DB00187	Esmolol	approved	0.77
29	sp|P07550|ADRB2_HU	P07550	99.76	1.0	413.0	DB00335	Atenolol	approved	DB00195	Betaxolol	approved; investigational	0.77
30	sp|P07550|ADRB2_HU	P07550	99.76	1.0	413.0	DB00335	Atenolol	approved	DB00264	Metoprolol	approved; investigational	0.84
31	sp|P07550|ADRB2_HU	P07550	99.76	1.0	413.0	DB00335	Atenolol	approved	DB00335	Atenolol	approved	1.0
32	sp|P07550|ADRB2_HU	P07550	99.76	1.0	413.0	DB00335	Atenolol	approved	DB09351	Levobetaxolol	approved; investigational	0.77
33	sp|P07550|ADRB2_HU	P07550	99.76	1.0	413.0	DB00335	Atenolol	approved	DB13346	Bufexamac	approved; withdrawn	0.72
34	sp|P07550|ADRB2_HU	P07550	99.76	1.0	413.0	DB00368	Norepinephrine	approved	DB00221	Isoetharine	approved	0.71
35	sp|P07550|ADRB2_HU	P07550	99.76	1.0	413.0	DB00368	Norepinephrine	approved	DB00368	Norepinephrine	approved	1.0
36	sp|P07550|ADRB2_HU	P07550	99.76	1.0	413.0	DB00368	Norepinephrine	approved	DB00388	Phenylephrine	approved	0.81
37	sp|P07550|ADRB2_HU	P07550	99.76	1.0	413.0	DB00368	Norepinephrine	approved	DB00610	Metaraminol	approved; investigational	0.77
38	sp|P07550|ADRB2_HU	P07550	99.76	1.0	413.0	DB00368	Norepinephrine	approved	DB00668	Epinephrine	approved; vet_approved	0.95
39	sp|P07550|ADRB2_HU	P07550	99.76	1.0	413.0	DB00368	Norepinephrine	approved	DB00816	Orciprenaline	approved	0.77
40	sp|P07550|ADRB2_HU	P07550	99.76	1.0	413.0	DB00368	Norepinephrine	approved	DB00871	Terbutaline	approved	0.76
41	sp|P07550|ADRB2_HU	P07550	99.76	1.0	413.0	DB00368	Norepinephrine	approved	DB00988	Dopamine	approved	0.76
42	sp|P07550|ADRB2_HU	P07550	99.76	1.0	413.0	DB00368	Norepinephrine	approved	DB01064	Isoprenaline	approved; investigational	0.89
43	sp|P07550|ADRB2_HU	P07550	99.76	1.0	413.0	DB00368	Norepinephrine	approved	DB01102	Arbutamine	approved	0.8
44	sp|P07550|ADRB2_HU	P07550	99.76	1.0	413.0	DB00368	Norepinephrine	approved	DB01288	Fenoterol	approved; investigational	0.75
45	sp|P07550|ADRB2_HU	P07550	99.76	1.0	413.0	DB00368	Norepinephrine	approved	DB06262	Droxidopa	approved; investigational	0.72
46	sp|P07550|ADRB2_HU	P07550	99.76	1.0	413.0	DB00368	Norepinephrine	approved	DB06707	Levonordefrin	approved	0.88
47	sp|P07550|ADRB2_HU	P07550	99.76	1.0	413.0	DB00373	Timolol	approved	DB00373	Timolol	approved	1.0
48	sp|P07550|ADRB2_HU	P07550	99.76	1.0	413.0	DB00397	Phenylpropanolamine	approved; vet_approved; withdrawn	DB00182	Amphetamine	approved; illicit; investigational	0.74
49	sp|P07550|ADRB2_HU	P07550	99.76	1.0	413.0	DB00397	Phenylpropanolamine	approved; vet_approved; withdrawn	DB00191	Phentermine	approved; illicit	0.74
50	sp|P07550|ADRB2_HU	P07550	99.76	1.0	413.0	DB00397	Phenylpropanolamine	approved; vet_approved; withdrawn	DB00397	Phenylpropanolamine	approved; vet_approved; withdrawn	1.0
51	sp|P07550|ADRB2_HU	P07550	99.76	1.0	413.0	DB00397	Phenylpropanolamine	approved; vet_approved; withdrawn	DB00610	Metaraminol	approved; investigational	0.74
52	sp|P07550|ADRB2_HU	P07550	99.76	1.0	413.0	DB00397	Phenylpropanolamine	approved; vet_approved; withdrawn	DB00852	Pseudoephedrine	approved	0.88
53	sp|P07550|ADRB2_HU	P07550	99.76	1.0	413.0	DB00397	Phenylpropanolamine	approved; vet_approved; withdrawn	DB01364	Ephedrine	approved	0.88
