	tName	tAcc	tLen	qName	qAcc	qLen	eVal	score	bias	domNo	totDom	domCval	domIval	domScor	domBias	hmmStrt	hmmEnd	aliStrt	aliEnd	envStrt	envEnd	envAccu	description	qCov
0	drugbank_target|P12823	-	3388	sp|Q32ZE1|POLG_ZIK	-	3419	0.0	7063.8	31.6	1	1	0.0	0.0	7063.6	31.6	3	3418	2	3386	1	3387	1.0	Genome polyprotein (DB00811; DB01752)	98.98
1	drugbank_target|P27915	-	3390	sp|Q32ZE1|POLG_ZIK	-	3419	0.0	6932.0	36.1	1	1	0.0	0.0	6931.9	36.1	3	3417	2	3388	1	3390	1.0	Genome polyprotein (DB04473)	99.03
2	drugbank_target|P27914	-	1683	sp|Q32ZE1|POLG_ZIK	-	3419	0.0	3523.6	22.2	1	2	0.0	0.0	2301.0	20.4	291	1369	1	1066	1	1066	1.0	Genome polyprotein (DB04473)	31.15
3	drugbank_target|P27914	-	1683	sp|Q32ZE1|POLG_ZIK	-	3419	0.0	3523.6	22.2	2	2	0.0	0.0	1229.4	0.0	1495	2115	1062	1683	1061	1683	1.0	Genome polyprotein (DB04473)	18.16
4	drugbank_target|Q9WMX2	-	3010	sp|Q32ZE1|POLG_ZIK	-	3419	7.399999999999998e-154	511.6	0.0	1	2	8.099999999999998e-156	2.4999999999999996e-153	509.9	0.4	1526	1961	1060	1494	1053	1498	0.98	Genome polyprotein (DB07238)	12.69
5	drugbank_target|Q9WMX2	-	3010	sp|Q32ZE1|POLG_ZIK	-	3419	7.399999999999998e-154	511.6	0.0	2	2	0.17	52.0	-2.2	0.0	2979	3079	2567	2669	2555	2680	0.78	Genome polyprotein (DB07238)	2.98
6	drugbank_target|P26662	-	3010	sp|Q32ZE1|POLG_ZIK	-	3419	2.4999999999999996e-153	509.9	0.2	1	1	1.2999999999999996e-155	3.999999999999999e-153	509.2	0.2	1526	1961	1060	1494	1052	1499	0.98	Genome polyprotein (DB01720; DB04005)	12.69
7	drugbank_target|Q99AU2	-	3010	sp|Q32ZE1|POLG_ZIK	-	3419	4.6999999999999983e-153	509.0	0.4	1	1	2.4999999999999995e-155	7.799999999999998e-153	508.3	0.4	1526	1962	1060	1495	1052	1502	0.98	Genome polyprotein (DB06913; DB07085; DB07185; DB07273; DB07275; DB07547; DB07770; DB08556)	12.72
8	drugbank_target|P26663	-	3010	sp|Q32ZE1|POLG_ZIK	-	3419	2.699999999999999e-152	506.5	0.3	1	1	1.4999999999999998e-154	4.499999999999999e-152	505.7	0.3	1526	1962	1060	1495	1052	1502	0.98	Genome polyprotein (DB02331; DB03605; DB04005; DB04137; DB04298; DB06974; DB07062; DB07169; DB07199; DB07200; DB07238; DB07414; DB07570; DB08031; DB08278; DB08279; DB08390; DB08481; DB08578; DB08579; DB08580; DB08581; DB08582; DB08701; DB08706; DB08710; DB11586)	12.72
9	drugbank_target|P26664	-	3011	sp|Q32ZE1|POLG_ZIK	-	3419	1.9999999999999995e-151	503.6	0.0	1	2	2.6999999999999996e-153	8.199999999999998e-151	501.5	0.3	1526	1961	1060	1494	1052	1498	0.98	Genome polyprotein (DB05868; DB06058; DB07582; DB11779)	12.69
10	drugbank_target|P26664	-	3011	sp|Q32ZE1|POLG_ZIK	-	3419	1.9999999999999995e-151	503.6	0.0	2	2	0.096	30.0	-1.4	0.0	2979	3075	2568	2664	2555	2696	0.86	Genome polyprotein (DB05868; DB06058; DB07582; DB11779)	2.81
11	drugbank_target|O92972	-	3010	sp|Q32ZE1|POLG_ZIK	-	3419	5.899999999999998e-151	502.0	0.2	1	1	3.5999999999999987e-153	1.0999999999999997e-150	501.1	0.2	1526	1961	1060	1494	1049	1499	0.98	Genome polyprotein (DB08747)	12.69
12	drugbank_target|P27958	-	3011	sp|Q32ZE1|POLG_ZIK	-	3419	1.3999999999999997e-150	500.8	0.0	1	2	1.2999999999999996e-152	3.9999999999999984e-150	499.2	0.5	1526	1961	1060	1494	1052	1498	0.98	Genome polyprotein (DB08644)	12.69
13	drugbank_target|P27958	-	3011	sp|Q32ZE1|POLG_ZIK	-	3419	1.3999999999999997e-150	500.8	0.0	2	2	0.39	120.0	-3.4	0.0	2979	3075	2568	2664	2557	2675	0.85	Genome polyprotein (DB08644)	2.81
14	drugbank_target|P26661	-	3033	sp|Q32ZE1|POLG_ZIK	-	3419	8.899999999999998e-145	481.5	0.2	1	1	5.299999999999999e-147	1.5999999999999996e-144	480.6	0.2	1525	1961	1063	1498	1055	1511	0.97	Genome polyprotein (DB08701)	12.72
15	drugbank_target|P26660	-	3033	sp|Q32ZE1|POLG_ZIK	-	3419	1.4999999999999996e-144	480.8	0.0	1	2	3.0999999999999994e-146	9.699999999999998e-144	478.1	0.2	1526	1961	1064	1498	1054	1514	0.97	Genome polyprotein (DB03388; DB03647)	12.69
16	drugbank_target|P26660	-	3033	sp|Q32ZE1|POLG_ZIK	-	3419	1.4999999999999996e-144	480.8	0.0	2	2	0.04	12.0	-0.1	0.0	2983	3073	2594	2684	2579	2742	0.88	Genome polyprotein (DB03388; DB03647)	2.63
17	drugbank_target|B0B3C9	-	685	sp|Q32ZE1|POLG_ZIK	-	3419	1.7999999999999997e-143	477.2	0.1	1	1	7.399999999999999e-146	2.299999999999999e-143	476.8	0.1	1525	1961	33	468	23	481	0.97	Genome polyprotein (DB05521; DB08873; DB09297; DB11575; DB12026)	12.72
18	drugbank_target|P19711	-	3988	sp|Q32ZE1|POLG_ZIK	-	3419	3.9999999999999986e-95	316.7	4.8	1	2	8.499999999999998e-97	2.5999999999999994e-94	314.0	1.4	1616	1961	1825	2189	1804	2204	0.95	Genome polyprotein (DB04137)	10.65
19	drugbank_target|P19711	-	3988	sp|Q32ZE1|POLG_ZIK	-	3419	3.9999999999999986e-95	316.7	4.8	2	2	0.0057	1.8	2.7	0.1	3051	3146	3614	3701	3596	3841	0.65	Genome polyprotein (DB04137)	2.54
20	drugbank_target|Q91RS4	-	181	sp|Q32ZE1|POLG_ZIK	-	3419	5.5e-44	147.1	0.0	1	1	2e-46	6.3e-44	146.9	0.0	1526	1667	34	179	25	181	0.94	NS3 protease (DB06290; DB07582; DB13879)	4.24
21	drugbank_target|P15043	-	609	sp|Q32ZE1|POLG_ZIK	-	3419	0.00025	15.4	0.0	1	1	1.1e-06	0.00033999999999999997	15.0	0.0	1841	1916	222	302	201	312	0.8	ATP-dependent DNA helicase RecQ (DB02930)	2.34
22	drugbank_target|P17844	-	614	sp|Q32ZE1|POLG_ZIK	-	3419	0.0032	11.8	0.0	1	2	0.37	110.0	-3.3	0.0	1692	1733	138	186	135	203	0.73	Probable ATP-dependent RNA helicase DDX5 (DB11638)	1.4
23	drugbank_target|P17844	-	614	sp|Q32ZE1|POLG_ZIK	-	3419	0.0032	11.8	0.0	2	2	1.9e-05	0.0059	10.9	0.0	1841	1922	328	414	302	422	0.78	Probable ATP-dependent RNA helicase DDX5 (DB11638)	2.52
