	Query	Target	Query-Cov	Align-From	Align-To	1-Candidate	1-Mol.Name	1-Reg.Status	2-Candidate	2-Mol.Name	2-Reg.Status	Similarity by Tcoff
0	sp|P35367|HRH1_HUM	P35367	99.79	1	487	DB00215	Citalopram	approved	DB00215	Citalopram	approved	1.0
1	sp|P35367|HRH1_HUM	P35367	99.79	1	487	DB00215	Citalopram	approved	DB01175	Escitalopram	approved	1.0
2	sp|P35367|HRH1_HUM	P35367	99.79	1	487	DB00245	Benzatropine	approved	DB00245	Benzatropine	approved	1.0
3	sp|P35367|HRH1_HUM	P35367	99.79	1	487	DB00245	Benzatropine	approved	DB01146	Diphenylpyraline	approved; investigational	0.78
4	sp|P35367|HRH1_HUM	P35367	99.79	1	487	DB00246	Ziprasidone	approved	DB00246	Ziprasidone	approved	1.0
5	sp|P35367|HRH1_HUM	P35367	99.79	1	487	DB00283	Clemastine	approved; investigational	DB00283	Clemastine	approved; investigational	1.0
6	sp|P35367|HRH1_HUM	P35367	99.79	1	487	DB00321	Amitriptyline	approved	DB00321	Amitriptyline	approved	1.0
7	sp|P35367|HRH1_HUM	P35367	99.79	1	487	DB00321	Amitriptyline	approved	DB00540	Nortriptyline	approved	0.99
8	sp|P35367|HRH1_HUM	P35367	99.79	1	487	DB00321	Amitriptyline	approved	DB13114	Amitriptylinoxide	approved; investigational	0.96
9	sp|P35367|HRH1_HUM	P35367	99.79	1	487	DB00334	Olanzapine	approved; investigational	DB00334	Olanzapine	approved; investigational	1.0
10	sp|P35367|HRH1_HUM	P35367	99.79	1	487	DB00341	Cetirizine	approved	DB00341	Cetirizine	approved	1.0
11	sp|P35367|HRH1_HUM	P35367	99.79	1	487	DB00341	Cetirizine	approved	DB00354	Buclizine	approved	0.75
12	sp|P35367|HRH1_HUM	P35367	99.79	1	487	DB00341	Cetirizine	approved	DB00557	Hydroxyzine	approved	0.95
13	sp|P35367|HRH1_HUM	P35367	99.79	1	487	DB00341	Cetirizine	approved	DB00737	Meclizine	approved	0.8
14	sp|P35367|HRH1_HUM	P35367	99.79	1	487	DB00341	Cetirizine	approved	DB01176	Cyclizine	approved	0.78
15	sp|P35367|HRH1_HUM	P35367	99.79	1	487	DB00341	Cetirizine	approved	DB06282	Levocetirizine	approved	1.0
16	sp|P35367|HRH1_HUM	P35367	99.79	1	487	DB00341	Cetirizine	approved	DB08936	Chlorcyclizine	approved	0.87
17	sp|P35367|HRH1_HUM	P35367	99.79	1	487	DB00342	Terfenadine	approved; withdrawn	DB00342	Terfenadine	approved; withdrawn	1.0
18	sp|P35367|HRH1_HUM	P35367	99.79	1	487	DB00342	Terfenadine	approved; withdrawn	DB00950	Fexofenadine	approved; investigational	0.88
19	sp|P35367|HRH1_HUM	P35367	99.79	1	487	DB00342	Terfenadine	approved; withdrawn	DB01231	Diphenidol	approved; investigational; withdrawn	0.79
20	sp|P35367|HRH1_HUM	P35367	99.79	1	487	DB00342	Terfenadine	approved; withdrawn	DB09076	Umeclidinium	approved	0.82
21	sp|P35367|HRH1_HUM	P35367	99.79	1	487	DB00354	Buclizine	approved	DB00341	Cetirizine	approved	0.75
22	sp|P35367|HRH1_HUM	P35367	99.79	1	487	DB00354	Buclizine	approved	DB00354	Buclizine	approved	1.0
