	tName	tAcc	tLen	qName	qAcc	qLen	eVal	score	bias	domNo	totDom	domCval	domIval	domScor	domBias	hmmStrt	hmmEnd	aliStrt	aliEnd	envStrt	envEnd	envAccu	description	qCov
0	drugbank_target|Q91RS4	-	181	tr|Q91RS4|Q91RS4_9	-	181	1.2999999999999998e-119	394.8	2.9	1	1	2.899999999999999e-122	1.4e-119	394.6	2.9	1	181	1	181	1	181	1.0	NS3 protease (DB06290; DB07582; DB13879)	99.45
1	drugbank_target|Q99AU2	-	3010	tr|Q91RS4|Q91RS4_9	-	181	1.1999999999999995e-117	388.3	3.9	1	1	5.699999999999999e-120	2.6999999999999993e-117	387.2	3.9	1	181	1027	1207	1027	1207	1.0	Genome polyprotein (DB06913; DB07085; DB07185; DB07273; DB07275; DB07547; DB07770; DB08556)	99.45
2	drugbank_target|P26662	-	3010	tr|Q91RS4|Q91RS4_9	-	181	1.9e-117	387.7	3.4	1	1	1.0999999999999998e-119	5.199999999999999e-117	386.3	3.4	1	181	1027	1207	1027	1207	1.0	Genome polyprotein (DB01720; DB04005)	99.45
3	drugbank_target|P26664	-	3011	tr|Q91RS4|Q91RS4_9	-	181	1.9999999999999997e-117	387.6	3.1	1	1	9.9e-120	4.699999999999999e-117	386.4	3.1	1	181	1027	1207	1027	1207	1.0	Genome polyprotein (DB05868; DB06058; DB07582; DB11779)	99.45
4	drugbank_target|Q9WMX2	-	3010	tr|Q91RS4|Q91RS4_9	-	181	2.8e-117	387.1	4.0	1	1	1.2999999999999998e-119	6.299999999999999e-117	386.0	4.0	1	181	1027	1207	1027	1207	1.0	Genome polyprotein (DB07238)	99.45
5	drugbank_target|P26663	-	3010	tr|Q91RS4|Q91RS4_9	-	181	3.0999999999999998e-117	387.0	2.9	1	1	1.5999999999999997e-119	7.799999999999998e-117	385.7	2.9	1	181	1027	1207	1027	1207	1.0	Genome polyprotein (DB02331; DB03605; DB04005; DB04137; DB04298; DB06974; DB07062; DB07169; DB07199; DB07200; DB07238; DB07414; DB07570; DB08031; DB08278; DB08279; DB08390; DB08481; DB08578; DB08579; DB08580; DB08581; DB08582; DB08701; DB08706; DB08710; DB11586)	99.45
6	drugbank_target|P27958	-	3011	tr|Q91RS4|Q91RS4_9	-	181	1.4999999999999996e-116	384.8	3.4	1	1	6.899999999999997e-119	3.2999999999999994e-116	383.6	3.4	1	181	1027	1207	1027	1207	1.0	Genome polyprotein (DB08644)	99.45
7	drugbank_target|O92972	-	3010	tr|Q91RS4|Q91RS4_9	-	181	4.799999999999999e-116	383.1	4.0	1	1	2.2999999999999993e-118	1.1e-115	381.9	4.0	1	181	1027	1207	1027	1207	1.0	Genome polyprotein (DB08747)	99.45
8	drugbank_target|B0B3C9	-	685	tr|Q91RS4|Q91RS4_9	-	181	1.7e-106	352.0	4.0	1	1	6.799999999999999e-109	3.299999999999999e-106	351.1	4.0	1	181	1	181	1	181	1.0	Genome polyprotein (DB05521; DB08873; DB09297; DB11575; DB12026)	99.45
9	drugbank_target|P26660	-	3033	tr|Q91RS4|Q91RS4_9	-	181	4.1999999999999996e-106	350.7	2.7	1	1	2.1999999999999994e-108	9.999999999999998e-106	349.4	2.7	1	181	1031	1211	1031	1211	1.0	Genome polyprotein (DB03388; DB03647)	99.45
10	drugbank_target|P26661	-	3033	tr|Q91RS4|Q91RS4_9	-	181	4.599999999999999e-106	350.6	2.3	1	1	2.2999999999999996e-108	1.0999999999999996e-105	349.3	2.3	1	180	1031	1210	1031	1211	0.99	Genome polyprotein (DB08701)	98.9
