	tName	tAcc	tLen	qName	qAcc	qLen	eVal	score	bias	domNo	totDom	domCval	domIval	domScor	domBias	hmmStrt	hmmEnd	aliStrt	aliEnd	envStrt	envEnd	envAccu	description	qCov
0	drugbank_target|Q8Q3H0	-	99	tr|Q72874|Q72874_9	-	99	8.800000000000001e-51	168.5	0.5	1	1	3.4999999999999995e-53	9.8e-51	168.3	0.5	1	99	1	99	1	99	1.0	Pol protein (DB04623)	98.99
1	drugbank_target|Q9Q2G8	-	99	tr|Q72874|Q72874_9	-	99	8.800000000000001e-51	168.5	0.5	1	1	3.4999999999999995e-53	9.8e-51	168.3	0.5	1	99	1	99	1	99	1.0	V-1 protease (DB03141)	98.99
2	drugbank_target|Q72874	-	99	tr|Q72874|Q72874_9	-	99	1.1e-50	168.2	0.4	1	1	4.2e-53	1.2e-50	168.1	0.4	1	99	1	99	1	99	1.0	Pol polyprotein (DB00224; DB00503; DB00701; DB00932; DB01072; DB01232; DB01264; DB01319; DB01601; DB04887)	98.99
3	drugbank_target|O90777	-	99	tr|Q72874|Q72874_9	-	99	1.7e-50	167.5	0.4	1	1	6.9e-53	1.8999999999999997e-50	167.4	0.4	1	99	1	99	1	99	1.0	HIV-1 protease (DB00220; DB15623)	98.99
4	drugbank_target|P03367	-	1447	tr|Q72874|Q72874_9	-	99	5e-49	162.8	0.5	1	1	9.8e-51	2.6999999999999998e-48	160.5	0.5	1	99	501	599	501	599	1.0	Gag-Pol polyprotein (DB07327; DB07505; DB08041; DB08428; DB08662)	98.99
5	drugbank_target|P12497	-	1435	tr|Q72874|Q72874_9	-	99	5.4e-49	162.7	0.6	1	1	9e-51	2.5e-48	160.6	0.6	1	99	489	587	489	587	1.0	Gag-Pol polyprotein (DB02086; DB02994; DB03118; DB03676; DB03963; DB07575; DB08027; DB08231)	98.99
6	drugbank_target|P12499	-	1436	tr|Q72874|Q72874_9	-	99	5.600000000000001e-49	162.7	0.6	1	1	9.4e-51	2.5999999999999996e-48	160.5	0.6	1	99	490	588	490	588	1.0	Gag-Pol polyprotein (DB01887; DB02804; DB04353)	98.99
7	drugbank_target|P04587	-	1447	tr|Q72874|Q72874_9	-	99	6e-49	162.6	0.5	1	1	9.8e-51	2.6999999999999998e-48	160.5	0.5	1	99	501	599	501	599	1.0	Gag-Pol polyprotein (DB07910; DB08115)	98.99
8	drugbank_target|P03366	-	1447	tr|Q72874|Q72874_9	-	99	6.099999999999999e-49	162.6	0.5	1	1	9.8e-51	2.6999999999999998e-48	160.5	0.5	1	99	501	599	501	599	1.0	Gag-Pol polyprotein (DB01732; DB01824; DB01887; DB01891; DB02009; DB02033; DB02629; DB02683; DB02704; DB02768; DB02785; DB02972; DB03076; DB03141; DB03803; DB03908; DB04042; DB04190; DB04255; DB04547; DB05398; DB05871; DB06414; DB06874; DB07018; DB07035; DB07327; DB07332; DB07337; DB07343; DB07451; DB07578; DB07806; DB07885; DB07961; DB08034; DB08212; DB08281; DB08282; DB08284; DB08372; DB08414; DB08428; DB08457; DB08598; DB08600; DB08639)	98.99
9	drugbank_target|P35963	-	1435	tr|Q72874|Q72874_9	-	99	6.3e-49	162.5	0.4	1	1	1.1e-50	2.8999999999999997e-48	160.4	0.4	1	99	489	587	489	587	1.0	Gag-Pol polyprotein (DB01721)	98.99
10	drugbank_target|P04585	-	1435	tr|Q72874|Q72874_9	-	99	6.499999999999999e-49	162.5	0.4	1	1	1.2e-50	3.2e-48	160.3	0.4	1	99	489	587	489	587	1.0	Gag-Pol polyprotein (DB02102; DB02702; DB02729; DB04609; DB05328; DB06414; DB06581; DB06910; DB07184; DB07332; DB07472; DB07473; DB07781; DB07797; DB07820; DB07826; DB07864; DB07867; DB07868; DB07869; DB07871; DB07884; DB07892; DB07910; DB08154; DB08188; DB08211; DB08286; DB08372; DB08379; DB08444; DB08446; DB08459; DB08460; DB08494; DB08502; DB08528; DB08598; DB08634; DB08665; DB08680; DB08681; DB08682; DB13119)	98.99
11	drugbank_target|P03369	-	1437	tr|Q72874|Q72874_9	-	99	2.2e-48	160.8	0.4	1	1	3.5000000000000004e-50	9.7e-48	158.7	0.4	1	99	491	589	491	589	1.0	Gag-Pol polyprotein (DB02411; DB02668; DB03768; DB04454; DB04886; DB05228; DB05644; DB07679; DB07910; DB08622)	98.99
12	drugbank_target|Q88016	-	1060	tr|Q72874|Q72874_9	-	99	1.9e-41	138.5	0.1	1	3	6.9e-44	1.9e-41	138.5	0.1	1	99	110	208	110	208	1.0	Pol polyprotein (DB07722)	98.99
13	drugbank_target|Q88016	-	1060	tr|Q72874|Q72874_9	-	99	1.9e-41	138.5	0.1	2	3	4.5	1200.0	-2.0	0.3	30	71	535	579	534	593	0.76	Pol polyprotein (DB07722)	44.44
