	Query	Target	Query-Cov	Align-From	Align-To	1-Candidate	1-Mol.Name	1-Reg.Status	2-Candidate	2-Mol.Name	2-Reg.Status	Similarity by Tcoff
0	tr|Q91RS4|Q91RS4_9	Q91RS4	99.45	1	181	DB06290	Simeprevir	approved	DB00200	Hydroxocobalamin	approved	0.75
1	tr|Q91RS4|Q91RS4_9	Q91RS4	99.45	1	181	DB06290	Simeprevir	approved	DB00290	Bleomycin	approved; investigational	0.71
2	tr|Q91RS4|Q91RS4_9	Q91RS4	99.45	1	181	DB06290	Simeprevir	approved	DB00309	Vindesine	approved; investigational	0.73
3	tr|Q91RS4|Q91RS4_9	Q91RS4	99.45	1	181	DB06290	Simeprevir	approved	DB00361	Vinorelbine	approved; investigational	0.74
4	tr|Q91RS4|Q91RS4_9	Q91RS4	99.45	1	181	DB06290	Simeprevir	approved	DB00541	Vincristine	approved; investigational	0.74
5	tr|Q91RS4|Q91RS4_9	Q91RS4	99.45	1	181	DB06290	Simeprevir	approved	DB00570	Vinblastine	approved	0.74
6	tr|Q91RS4|Q91RS4_9	Q91RS4	99.45	1	181	DB06290	Simeprevir	approved	DB03614	Mecobalamin	approved; investigational	0.75
7	tr|Q91RS4|Q91RS4_9	Q91RS4	99.45	1	181	DB06290	Simeprevir	approved	DB05109	Trabectedin	approved; investigational	0.71
8	tr|Q91RS4|Q91RS4_9	Q91RS4	99.45	1	181	DB06290	Simeprevir	approved	DB06290	Simeprevir	approved	1.0
9	tr|Q91RS4|Q91RS4_9	Q91RS4	99.45	1	181	DB06290	Simeprevir	approved	DB09297	Paritaprevir	approved; investigational	0.71
10	tr|Q91RS4|Q91RS4_9	Q91RS4	99.45	1	181	DB06290	Simeprevir	approved	DB11191	Cobamamide	approved	0.75
11	tr|Q91RS4|Q91RS4_9	Q91RS4	99.45	1	181	DB06290	Simeprevir	approved	DB11575	Grazoprevir	approved	0.7
12	tr|Q91RS4|Q91RS4_9	Q91RS4	99.45	1	181	DB06290	Simeprevir	approved	DB11641	Vinflunine	approved; investigational	0.74
13	tr|Q91RS4|Q91RS4_9	Q91RS4	99.45	1	181	DB06290	Simeprevir	approved	DB11691	Naldemedine	approved; investigational	0.71
14	tr|Q91RS4|Q91RS4_9	Q91RS4	99.45	1	181	DB06290	Simeprevir	approved	DB12026	Voxilaprevir	approved; investigational	0.71
15	tr|Q91RS4|Q91RS4_9	Q91RS4	99.45	1	181	DB06290	Simeprevir	approved	DB12674	Lurbinectedin	approved; investigational	0.73
16	tr|Q91RS4|Q91RS4_9	Q91RS4	99.45	1	181	DB07582	N-[(2R,3S)-1-((2S)-2-{[(CYCLOPENTYLAMINO)CARBONYL]AMINO}-3-METHYLBUTANOYL)-2-(1-FORMYL-1-CYCLOBUTYL)PYRROLIDINYL]CYCLOPROPANECARBOXAMIDE	experimental	-	Sorry! Cannot find	structurally similar	approved molecules
17	tr|Q91RS4|Q91RS4_9	Q91RS4	99.45	1	181	DB13879	Glecaprevir	approved; investigational	DB00115	Cyanocobalamin	approved; nutraceutical	0.72
18	tr|Q91RS4|Q91RS4_9	Q91RS4	99.45	1	181	DB13879	Glecaprevir	approved; investigational	DB00200	Hydroxocobalamin	approved	0.78
19	tr|Q91RS4|Q91RS4_9	Q91RS4	99.45	1	181	DB13879	Glecaprevir	approved; investigational	DB00290	Bleomycin	approved; investigational	0.73
20	tr|Q91RS4|Q91RS4_9	Q91RS4	99.45	1	181	DB13879	Glecaprevir	approved; investigational	DB00309	Vindesine	approved; investigational	0.75
21	tr|Q91RS4|Q91RS4_9	Q91RS4	99.45	1	181	DB13879	Glecaprevir	approved; investigational	DB00320	Dihydroergotamine	approved; investigational	0.7
22	tr|Q91RS4|Q91RS4_9	Q91RS4	99.45	1	181	DB13879	Glecaprevir	approved; investigational	DB00361	Vinorelbine	approved; investigational	0.76
23	tr|Q91RS4|Q91RS4_9	Q91RS4	99.45	1	181	DB13879	Glecaprevir	approved; investigational	DB00512	Vancomycin	approved	0.71
24	tr|Q91RS4|Q91RS4_9	Q91RS4	99.45	1	181	DB13879	Glecaprevir	approved; investigational	DB00541	Vincristine	approved; investigational	0.76
25	tr|Q91RS4|Q91RS4_9	Q91RS4	99.45	1	181	DB13879	Glecaprevir	approved; investigational	DB00570	Vinblastine	approved	0.76
26	tr|Q91RS4|Q91RS4_9	Q91RS4	99.45	1	181	DB13879	Glecaprevir	approved; investigational	DB00615	Rifabutin	approved; investigational	0.72
27	tr|Q91RS4|Q91RS4_9	Q91RS4	99.45	1	181	DB13879	Glecaprevir	approved; investigational	DB00696	Ergotamine	approved	0.72
28	tr|Q91RS4|Q91RS4_9	Q91RS4	99.45	1	181	DB13879	Glecaprevir	approved; investigational	DB00970	Dactinomycin	approved; investigational	0.72
29	tr|Q91RS4|Q91RS4_9	Q91RS4	99.45	1	181	DB13879	Glecaprevir	approved; investigational	DB01200	Bromocriptine	approved; investigational	0.72
