	Query	Target	Query-Cov	Align-From	Align-To	1-Candidate	1-Mol.Name	1-Reg.Status	2-Candidate	2-Mol.Name	2-Reg.Status	Similarity by Tcoff
0	sp|O14965|AURKA_HU	O14965	99.75	1.0	403.0	DB02482	Phosphonothreonine	experimental	SORRY!!	Cannot find	structurally similar	approved molecules
1	sp|O14965|AURKA_HU	O14965	99.75	1.0	403.0	DB05169	AT9283	investigational	SORRY!!	Cannot find	structurally similar	approved molecules
2	sp|O14965|AURKA_HU	O14965	99.75	1.0	403.0	DB05198	CYC116	investigational	SORRY!!	Cannot find	structurally similar	approved molecules
3	sp|O14965|AURKA_HU	O14965	99.75	1.0	403.0	DB05220	Alisertib	investigational	SORRY!!	Cannot find	structurally similar	approved molecules
4	sp|O14965|AURKA_HU	O14965	99.75	1.0	403.0	DB06134	SNS-314	investigational	SORRY!!	Cannot find	structurally similar	approved molecules
5	sp|O14965|AURKA_HU	O14965	99.75	1.0	403.0	DB06347	Cenisertib	investigational	SORRY!!	Cannot find	structurally similar	approved molecules
6	sp|O14965|AURKA_HU	O14965	99.75	1.0	403.0	DB06486	Enzastaurin	investigational	SORRY!!	Cannot find	structurally similar	approved molecules
7	sp|O14965|AURKA_HU	O14965	99.75	1.0	403.0	DB07186	4-(4-METHYLPIPERAZIN-1-YL)-N-[5-(2-THIENYLACETYL)-1,5-DIHYDROPYRROLO[3,4-C]PYRAZOL-3-YL]BENZAMIDE	experimental	SORRY!!	Cannot find	structurally similar	approved molecules
8	sp|O14965|AURKA_HU	O14965	99.75	1.0	403.0	DB07266	AKI-001	experimental	DB00200	Hydroxocobalamin	approved	0.71
9	sp|O14965|AURKA_HU	O14965	99.75	1.0	403.0	DB07266	AKI-001	experimental	DB00309	Vindesine	approved; investigational	0.7
10	sp|O14965|AURKA_HU	O14965	99.75	1.0	403.0	DB07266	AKI-001	experimental	DB00361	Vinorelbine	approved; investigational	0.71
11	sp|O14965|AURKA_HU	O14965	99.75	1.0	403.0	DB07266	AKI-001	experimental	DB00541	Vincristine	approved; investigational	0.71
12	sp|O14965|AURKA_HU	O14965	99.75	1.0	403.0	DB07266	AKI-001	experimental	DB00570	Vinblastine	approved	0.71
13	sp|O14965|AURKA_HU	O14965	99.75	1.0	403.0	DB07266	AKI-001	experimental	DB03614	Mecobalamin	approved; investigational	0.7
14	sp|O14965|AURKA_HU	O14965	99.75	1.0	403.0	DB07266	AKI-001	experimental	DB11191	Cobamamide	approved	0.71
15	sp|O14965|AURKA_HU	O14965	99.75	1.0	403.0	DB07266	AKI-001	experimental	DB11641	Vinflunine	approved; investigational	0.71
16	sp|O14965|AURKA_HU	O14965	99.75	1.0	403.0	DB07360	1-{5-[2-(thieno[3,2-d]pyrimidin-4-ylamino)ethyl]-1,3-thiazol-2-yl}-3-[3-(trifluoromethyl)phenyl]urea	experimental	SORRY!!	Cannot find	structurally similar	approved molecules
17	sp|O14965|AURKA_HU	O14965	99.75	1.0	403.0	DB07362	1-(5-{2-[(1-methyl-1H-pyrazolo[4,3-d]pyrimidin-7-yl)amino]ethyl}-1,3-thiazol-2-yl)-3-[3-(trifluoromethyl)phenyl]urea	experimental	SORRY!!	Cannot find	structurally similar	approved molecules
18	sp|O14965|AURKA_HU	O14965	99.75	1.0	403.0	DB07545	N-{3-[(4-{[3-(TRIFLUOROMETHYL)PHENYL]AMINO}PYRIMIDIN-2-YL)AMINO]PHENYL}CYCLOPROPANECARBOXAMIDE	experimental	SORRY!!	Cannot find	structurally similar	approved molecules
19	sp|O14965|AURKA_HU	O14965	99.75	1.0	403.0	DB07801	N-butyl-3-{[6-(9H-purin-6-ylamino)hexanoyl]amino}benzamide	experimental	SORRY!!	Cannot find	structurally similar	approved molecules
